Xcoord,Ycoord,Depth
0.00,2.38,71.70000
0.00,2.40,72.78000
0.00,2.42,73.88000
0.00,2.44,75.00000
0.00,2.46,76.12000
0.00,2.48,77.25000
0.00,2.50,78.40000
0.00,2.52,79.56000
0.00,2.54,80.73000
0.00,2.56,81.91000
0.00,2.58,83.10000
0.00,2.60,84.30000
0.00,2.62,85.52000
0.00,2.64,86.75000
0.00,2.66,87.98000
0.00,2.68,89.23000
0.00,2.70,90.50000
0.00,2.72,91.77000
0.00,2.74,93.05000
0.00,2.76,94.35000
0.00,2.78,95.66000
0.00,2.80,96.98000
0.00,2.82,98.31000
0.00,2.84,99.65000
0.00,2.86,101.00000
0.00,2.88,102.37000
0.00,2.90,103.74000
0.00,2.92,105.13000
0.00,2.94,106.53000
0.00,2.96,107.94000
0.00,2.98,109.37000
0.00,3.00,110.80000
0.00,3.02,112.25000
0.00,3.04,113.70000
0.00,3.06,115.17000
0.00,3.08,116.65000
0.00,3.10,118.14000
0.00,3.12,119.65000
0.00,3.14,121.16000
0.00,3.16,122.69000
0.00,3.18,124.23000
0.00,3.20,125.78000
0.00,3.22,127.34000
0.00,3.24,128.91000
0.00,3.26,130.49000
0.00,3.28,132.09000
0.00,3.30,133.70000
0.00,3.32,135.31000
0.00,3.34,136.94000
0.00,3.36,138.59000
0.00,3.38,140.24000
0.00,3.40,141.90000
0.00,3.42,143.58000
0.00,3.44,145.27000
0.00,3.46,146.97000
0.00,3.48,148.68000
0.00,3.50,150.40000
0.00,3.52,152.13000
0.00,3.54,153.88000
0.00,3.56,155.64000
0.00,3.58,157.40000
0.00,3.60,159.18000
0.00,3.62,160.98000
0.00,3.64,162.78000
0.00,3.66,164.59000
0.00,3.68,166.42000
0.00,3.70,168.26000
0.00,3.72,170.10000
0.00,3.74,171.97000
0.00,3.76,173.84000
0.00,3.78,175.72000
0.00,3.80,177.62000
0.00,3.82,179.52000
0.00,3.84,181.44000
0.00,3.86,183.37000
0.00,3.88,185.31000
0.00,3.90,187.26000
0.00,3.92,189.23000
0.00,3.94,191.20000
0.00,3.96,193.19000
0.00,3.98,195.19000
0.00,4.00,197.20000
0.02,0.00,24.32000
0.02,0.02,24.04000
0.02,0.04,23.77000
0.02,0.06,23.51000
0.02,0.08,23.27000
0.02,0.10,23.03000
0.02,0.12,22.81000
0.02,0.14,22.60000
0.02,0.16,22.39000
0.02,0.18,22.21000
0.02,0.20,22.03000
0.02,0.22,21.86000
0.02,0.24,21.71000
0.02,0.26,21.56000
0.02,0.28,21.43000
0.02,0.30,21.31000
0.02,0.32,21.20000
0.02,0.34,21.10000
0.02,0.36,21.02000
0.02,0.38,20.94000
0.02,0.40,20.88000
0.02,0.42,20.83000
0.02,0.44,20.79000
0.02,0.46,20.76000
0.02,0.48,20.74000
0.02,0.50,20.74000
0.02,0.52,20.74000
0.02,0.54,20.76000
0.02,0.56,20.79000
0.02,0.58,20.83000
0.02,0.60,20.88000
0.02,0.62,20.94000
0.02,0.64,21.02000
0.02,0.66,21.10000
0.02,0.68,21.20000
0.02,0.70,21.31000
0.02,0.72,21.43000
0.02,0.74,21.56000
0.02,0.76,21.71000
0.02,0.78,21.86000
0.02,0.80,22.03000
0.02,0.82,22.21000
0.02,0.84,22.39000
0.02,0.86,22.60000
0.02,0.88,22.81000
0.02,0.90,23.03000
0.02,0.92,23.27000
0.02,0.94,23.51000
0.02,0.96,23.77000
0.02,0.98,24.04000
0.02,1.00,24.32000
0.02,1.02,24.61000
0.02,1.04,24.92000
0.02,1.06,25.23000
0.02,1.08,25.56000
0.02,1.10,25.90000
0.02,1.12,26.25000
0.02,1.14,26.61000
0.02,1.16,26.98000
0.02,1.18,27.37000
0.02,1.20,27.76000
0.02,1.22,28.17000
0.02,1.24,28.59000
0.02,1.26,29.02000
0.02,1.28,29.46000
0.02,1.30,29.91000
0.02,1.32,30.38000
0.02,1.34,30.85000
0.02,1.36,31.34000
0.02,1.38,31.84000
0.02,1.40,32.35000
0.02,1.42,32.87000
0.02,1.44,33.40000
0.02,1.46,33.95000
0.02,1.48,34.51000
0.02,1.50,35.07000
0.02,1.52,35.65000
0.02,1.54,36.24000
0.02,1.56,36.85000
0.02,1.58,37.46000
0.02,1.60,38.08000
0.02,1.62,38.72000
0.02,1.64,39.37000
0.02,1.66,40.03000
0.02,1.68,40.70000
0.02,1.70,41.38000
0.02,1.72,42.07000
0.02,1.74,42.78000
0.02,1.76,43.50000
0.02,1.78,44.23000
0.02,1.80,44.97000
0.02,1.82,45.72000
0.02,1.84,46.48000
0.02,1.86,47.25000
0.02,1.88,48.04000
0.02,1.90,48.84000
0.02,1.92,49.64000
0.02,1.94,50.46000
0.02,1.96,51.30000
0.02,1.98,52.14000
0.02,2.00,52.99000
0.02,2.02,53.86000
0.02,2.04,54.74000
0.02,2.06,55.63000
0.02,2.08,56.53000
0.02,2.10,57.44000
0.02,2.12,58.36000
0.02,2.14,59.30000
0.02,2.16,60.24000
0.02,2.18,61.20000
0.02,2.20,62.17000
0.02,2.22,63.15000
0.02,2.24,64.14000
0.02,2.26,65.14000
0.02,2.28,66.16000
0.02,2.30,67.19000
0.02,2.32,68.22000
0.02,2.34,69.27000
0.02,2.36,70.33000
0.02,2.38,71.41000
0.02,2.40,72.49000
0.02,2.42,73.59000
0.02,2.44,74.69000
0.02,2.46,75.81000
0.02,2.48,76.94000
0.02,2.50,78.08000
0.02,2.52,79.23000
0.02,2.54,80.40000
0.02,2.56,81.57000
0.02,2.58,82.76000
0.02,2.60,83.96000
0.02,2.62,85.17000
0.02,2.64,86.39000
0.02,2.66,87.62000
0.02,2.68,88.87000
0.02,2.70,90.12000
0.02,2.72,91.39000
0.02,2.74,92.67000
0.02,2.76,93.96000
0.02,2.78,95.26000
0.02,2.80,96.57000
0.02,2.82,97.90000
0.02,2.84,99.24000
0.02,2.86,100.58000
0.02,2.88,101.94000
0.02,2.90,103.31000
0.02,2.92,104.69000
0.02,2.94,106.09000
0.02,2.96,107.49000
0.02,2.98,108.91000
0.02,3.00,110.34000
0.02,3.02,111.78000
0.02,3.04,113.23000
0.02,3.06,114.69000
0.02,3.08,116.16000
0.02,3.10,117.65000
0.02,3.12,119.15000
0.02,3.14,120.65000
0.02,3.16,122.17000
0.02,3.18,123.70000
0.02,3.20,125.25000
0.02,3.22,126.80000
0.02,3.24,128.37000
0.02,3.26,129.94000
0.02,3.28,131.53000
0.02,3.30,133.13000
0.02,3.32,134.74000
0.02,3.34,136.37000
0.02,3.36,138.00000
0.02,3.38,139.65000
0.02,3.40,141.30000
0.02,3.42,142.97000
0.02,3.44,144.65000
0.02,3.46,146.34000
0.02,3.48,148.05000
0.02,3.50,149.76000
0.02,3.52,151.49000
0.02,3.54,153.22000
0.02,3.56,154.97000
0.02,3.58,156.73000
0.02,3.60,158.51000
0.02,3.62,160.29000
0.02,3.64,162.08000
0.02,3.66,163.89000
0.02,3.68,165.71000
0.02,3.70,167.54000
0.02,3.72,169.38000
0.02,3.74,171.23000
0.02,3.76,173.09000
0.02,3.78,174.97000
0.02,3.80,176.86000
0.02,3.82,178.75000
0.02,3.84,180.66000
0.02,3.86,182.58000
0.02,3.88,184.52000
0.02,3.90,186.46000
0.02,3.92,188.42000
0.02,3.94,190.38000
0.02,3.96,192.36000
0.02,3.98,194.35000
0.02,4.00,196.35000
0.04,0.00,24.25000
0.04,0.02,23.97000
0.04,0.04,23.70000
0.04,0.06,23.44000
0.04,0.08,23.19000
0.04,0.10,22.96000
0.04,0.12,22.74000
0.04,0.14,22.53000
0.04,0.16,22.33000
0.04,0.18,22.14000
0.04,0.20,21.96000
0.04,0.22,21.80000
0.04,0.24,21.64000
0.04,0.26,21.50000
0.04,0.28,21.37000
0.04,0.30,21.25000
0.04,0.32,21.14000
0.04,0.34,21.04000
0.04,0.36,20.96000
0.04,0.38,20.88000
0.04,0.40,20.82000
0.04,0.42,20.77000
0.04,0.44,20.73000
0.04,0.46,20.70000
0.04,0.48,20.68000
0.04,0.50,20.68000
0.04,0.52,20.68000
0.04,0.54,20.70000
0.04,0.56,20.73000
0.04,0.58,20.77000
0.04,0.60,20.82000
0.04,0.62,20.88000
0.04,0.64,20.96000
0.04,0.66,21.04000
0.04,0.68,21.14000
0.04,0.70,21.25000
0.04,0.72,21.37000
0.04,0.74,21.50000
0.04,0.76,21.64000
0.04,0.78,21.80000
0.04,0.80,21.96000
0.04,0.82,22.14000
0.04,0.84,22.33000
0.04,0.86,22.53000
0.04,0.88,22.74000
0.04,0.90,22.96000
0.04,0.92,23.19000
0.04,0.94,23.44000
0.04,0.96,23.70000
0.04,0.98,23.97000
0.04,1.00,24.25000
0.04,1.02,24.54000
0.04,1.04,24.84000
0.04,1.06,25.15000
0.04,1.08,25.48000
0.04,1.10,25.82000
0.04,1.12,26.16000
0.04,1.14,26.52000
0.04,1.16,26.89000
0.04,1.18,27.28000
0.04,1.20,27.67000
0.04,1.22,28.08000
0.04,1.24,28.49000
0.04,1.26,28.92000
0.04,1.28,29.36000
0.04,1.30,29.81000
0.04,1.32,30.27000
0.04,1.34,30.75000
0.04,1.36,31.23000
0.04,1.38,31.73000
0.04,1.40,32.24000
0.04,1.42,32.76000
0.04,1.44,33.29000
0.04,1.46,33.83000
0.04,1.48,34.38000
0.04,1.50,34.95000
0.04,1.52,35.53000
0.04,1.54,36.11000
0.04,1.56,36.71000
0.04,1.58,37.32000
0.04,1.60,37.95000
0.04,1.62,38.58000
0.04,1.64,39.23000
0.04,1.66,39.88000
0.04,1.68,40.55000
0.04,1.70,41.23000
0.04,1.72,41.92000
0.04,1.74,42.62000
0.04,1.76,43.34000
0.04,1.78,44.06000
0.04,1.80,44.80000
0.04,1.82,45.54000
0.04,1.84,46.30000
0.04,1.86,47.07000
0.04,1.88,47.86000
0.04,1.90,48.65000
0.04,1.92,49.46000
0.04,1.94,50.27000
0.04,1.96,51.10000
0.04,1.98,51.94000
0.04,2.00,52.79000
0.04,2.02,53.65000
0.04,2.04,54.52000
0.04,2.06,55.41000
0.04,2.08,56.31000
0.04,2.10,57.21000
0.04,2.12,58.13000
0.04,2.14,59.06000
0.04,2.16,60.01000
0.04,2.18,60.96000
0.04,2.20,61.92000
0.04,2.22,62.90000
0.04,2.24,63.89000
0.04,2.26,64.89000
0.04,2.28,65.90000
0.04,2.30,66.92000
0.04,2.32,67.95000
0.04,2.34,69.00000
0.04,2.36,70.05000
0.04,2.38,71.12000
0.04,2.40,72.20000
0.04,2.42,73.29000
0.04,2.44,74.39000
0.04,2.46,75.50000
0.04,2.48,76.63000
0.04,2.50,77.77000
0.04,2.52,78.91000
0.04,2.54,80.07000
0.04,2.56,81.24000
0.04,2.58,82.42000
0.04,2.60,83.62000
0.04,2.62,84.82000
0.04,2.64,86.04000
0.04,2.66,87.26000
0.04,2.68,88.50000
0.04,2.70,89.75000
0.04,2.72,91.02000
0.04,2.74,92.29000
0.04,2.76,93.57000
0.04,2.78,94.87000
0.04,2.80,96.18000
0.04,2.82,97.49000
0.04,2.84,98.82000
0.04,2.86,100.17000
0.04,2.88,101.52000
0.04,2.90,102.88000
0.04,2.92,104.26000
0.04,2.94,105.65000
0.04,2.96,107.05000
0.04,2.98,108.46000
0.04,3.00,109.88000
0.04,3.02,111.31000
0.04,3.04,112.75000
0.04,3.06,114.21000
0.04,3.08,115.68000
0.04,3.10,117.16000
0.04,3.12,118.65000
0.04,3.14,120.15000
0.04,3.16,121.66000
0.04,3.18,123.18000
0.04,3.20,124.72000
0.04,3.22,126.27000
0.04,3.24,127.83000
0.04,3.26,129.40000
0.04,3.28,130.98000
0.04,3.30,132.57000
0.04,3.32,134.17000
0.04,3.34,135.79000
0.04,3.36,137.42000
0.04,3.38,139.05000
0.04,3.40,140.70000
0.04,3.42,142.37000
0.04,3.44,144.04000
0.04,3.46,145.72000
0.04,3.48,147.42000
0.04,3.50,149.13000
0.04,3.52,150.84000
0.04,3.54,152.57000
0.04,3.56,154.31000
0.04,3.58,156.07000
0.04,3.60,157.83000
0.04,3.62,159.61000
0.04,3.64,161.39000
0.04,3.66,163.19000
0.04,3.68,165.00000
0.04,3.70,166.82000
0.04,3.72,168.65000
0.04,3.74,170.50000
0.04,3.76,172.35000
0.04,3.78,174.22000
0.04,3.80,176.10000
0.04,3.82,177.99000
0.04,3.84,179.89000
0.04,3.86,181.80000
0.04,3.88,183.73000
0.04,3.90,185.66000
0.04,3.92,187.61000
0.04,3.94,189.57000
0.04,3.96,191.54000
0.04,3.98,193.52000
0.04,4.00,195.51000
0.06,0.00,24.17000
0.06,0.02,23.89000
0.06,0.04,23.63000
0.06,0.06,23.37000
0.06,0.08,23.13000
0.06,0.10,22.89000
0.06,0.12,22.67000
0.06,0.14,22.46000
0.06,0.16,22.26000
0.06,0.18,22.07000
0.06,0.20,21.90000
0.06,0.22,21.73000
0.06,0.24,21.58000
0.06,0.26,21.44000
0.06,0.28,21.31000
0.06,0.30,21.19000
0.06,0.32,21.08000
0.06,0.34,20.98000
0.06,0.36,20.90000
0.06,0.38,20.82000
0.06,0.40,20.76000
0.06,0.42,20.71000
0.06,0.44,20.67000
0.06,0.46,20.64000
0.06,0.48,20.63000
0.06,0.50,20.62000
0.06,0.52,20.63000
0.06,0.54,20.64000
0.06,0.56,20.67000
0.06,0.58,20.71000
0.06,0.60,20.76000
0.06,0.62,20.82000
0.06,0.64,20.90000
0.06,0.66,20.98000
0.06,0.68,21.08000
0.06,0.70,21.19000
0.06,0.72,21.31000
0.06,0.74,21.44000
0.06,0.76,21.58000
0.06,0.78,21.73000
0.06,0.80,21.90000
0.06,0.82,22.07000
0.06,0.84,22.26000
0.06,0.86,22.46000
0.06,0.88,22.67000
0.06,0.90,22.89000
0.06,0.92,23.13000
0.06,0.94,23.37000
0.06,0.96,23.63000
0.06,0.98,23.89000
0.06,1.00,24.17000
0.06,1.02,24.46000
0.06,1.04,24.76000
0.06,1.06,25.08000
0.06,1.08,25.40000
0.06,1.10,25.73000
0.06,1.12,26.08000
0.06,1.14,26.44000
0.06,1.16,26.81000
0.06,1.18,27.19000
0.06,1.20,27.58000
0.06,1.22,27.98000
0.06,1.24,28.40000
0.06,1.26,28.83000
0.06,1.28,29.26000
0.06,1.30,29.71000
0.06,1.32,30.17000
0.06,1.34,30.64000
0.06,1.36,31.13000
0.06,1.38,31.62000
0.06,1.40,32.13000
0.06,1.42,32.65000
0.06,1.44,33.17000
0.06,1.46,33.71000
0.06,1.48,34.26000
0.06,1.50,34.83000
0.06,1.52,35.40000
0.06,1.54,35.99000
0.06,1.56,36.58000
0.06,1.58,37.19000
0.06,1.60,37.81000
0.06,1.62,38.44000
0.06,1.64,39.08000
0.06,1.66,39.74000
0.06,1.68,40.40000
0.06,1.70,41.08000
0.06,1.72,41.77000
0.06,1.74,42.47000
0.06,1.76,43.18000
0.06,1.78,43.90000
0.06,1.80,44.63000
0.06,1.82,45.38000
0.06,1.84,46.13000
0.06,1.86,46.90000
0.06,1.88,47.68000
0.06,1.90,48.47000
0.06,1.92,49.27000
0.06,1.94,50.08000
0.06,1.96,50.91000
0.06,1.98,51.74000
0.06,2.00,52.59000
0.06,2.02,53.45000
0.06,2.04,54.32000
0.06,2.06,55.20000
0.06,2.08,56.09000
0.06,2.10,56.99000
0.06,2.12,57.91000
0.06,2.14,58.83000
0.06,2.16,59.77000
0.06,2.18,60.72000
0.06,2.20,61.68000
0.06,2.22,62.65000
0.06,2.24,63.64000
0.06,2.26,64.63000
0.06,2.28,65.64000
0.06,2.30,66.65000
0.06,2.32,67.68000
0.06,2.34,68.72000
0.06,2.36,69.77000
0.06,2.38,70.84000
0.06,2.40,71.91000
0.06,2.42,73.00000
0.06,2.44,74.09000
0.06,2.46,75.20000
0.06,2.48,76.32000
0.06,2.50,77.45000
0.06,2.52,78.59000
0.06,2.54,79.75000
0.06,2.56,80.91000
0.06,2.58,82.09000
0.06,2.60,83.28000
0.06,2.62,84.48000
0.06,2.64,85.69000
0.06,2.66,86.91000
0.06,2.68,88.14000
0.06,2.70,89.39000
0.06,2.72,90.64000
0.06,2.74,91.91000
0.06,2.76,93.19000
0.06,2.78,94.48000
0.06,2.80,95.78000
0.06,2.82,97.09000
0.06,2.84,98.42000
0.06,2.86,99.75000
0.06,2.88,101.10000
0.06,2.90,102.46000
0.06,2.92,103.83000
0.06,2.94,105.21000
0.06,2.96,106.60000
0.06,2.98,108.00000
0.06,3.00,109.42000
0.06,3.02,110.85000
0.06,3.04,112.28000
0.06,3.06,113.73000
0.06,3.08,115.19000
0.06,3.10,116.67000
0.06,3.12,118.15000
0.06,3.14,119.64000
0.06,3.16,121.15000
0.06,3.18,122.67000
0.06,3.20,124.20000
0.06,3.22,125.74000
0.06,3.24,127.29000
0.06,3.26,128.85000
0.06,3.28,130.42000
0.06,3.30,132.01000
0.06,3.32,133.61000
0.06,3.34,135.22000
0.06,3.36,136.84000
0.06,3.38,138.47000
0.06,3.40,140.11000
0.06,3.42,141.76000
0.06,3.44,143.43000
0.06,3.46,145.10000
0.06,3.48,146.79000
0.06,3.50,148.49000
0.06,3.52,150.20000
0.06,3.54,151.92000
0.06,3.56,153.66000
0.06,3.58,155.40000
0.06,3.60,157.16000
0.06,3.62,158.93000
0.06,3.64,160.70000
0.06,3.66,162.49000
0.06,3.68,164.30000
0.06,3.70,166.11000
0.06,3.72,167.93000
0.06,3.74,169.77000
0.06,3.76,171.62000
0.06,3.78,173.47000
0.06,3.80,175.34000
0.06,3.82,177.23000
0.06,3.84,179.12000
0.06,3.86,181.02000
0.06,3.88,182.94000
0.06,3.90,184.86000
0.06,3.92,186.80000
0.06,3.94,188.75000
0.06,3.96,190.71000
0.06,3.98,192.68000
0.06,4.00,194.67000
0.08,0.00,24.10000
0.08,0.02,23.82000
0.08,0.04,23.56000
0.08,0.06,23.30000
0.08,0.08,23.06000
0.08,0.10,22.83000
0.08,0.12,22.61000
0.08,0.14,22.40000
0.08,0.16,22.20000
0.08,0.18,22.01000
0.08,0.20,21.84000
0.08,0.22,21.67000
0.08,0.24,21.52000
0.08,0.26,21.38000
0.08,0.28,21.25000
0.08,0.30,21.13000
0.08,0.32,21.02000
0.08,0.34,20.93000
0.08,0.36,20.84000
0.08,0.38,20.77000
0.08,0.40,20.71000
0.08,0.42,20.66000
0.08,0.44,20.62000
0.08,0.46,20.59000
0.08,0.48,20.57000
0.08,0.50,20.56000
0.08,0.52,20.57000
0.08,0.54,20.59000
0.08,0.56,20.62000
0.08,0.58,20.66000
0.08,0.60,20.71000
0.08,0.62,20.77000
0.08,0.64,20.84000
0.08,0.66,20.93000
0.08,0.68,21.02000
0.08,0.70,21.13000
0.08,0.72,21.25000
0.08,0.74,21.38000
0.08,0.76,21.52000
0.08,0.78,21.67000
0.08,0.80,21.84000
0.08,0.82,22.01000
0.08,0.84,22.20000
0.08,0.86,22.40000
0.08,0.88,22.61000
0.08,0.90,22.83000
0.08,0.92,23.06000
0.08,0.94,23.30000
0.08,0.96,23.56000
0.08,0.98,23.82000
0.08,1.00,24.10000
0.08,1.02,24.39000
0.08,1.04,24.69000
0.08,1.06,25.00000
0.08,1.08,25.32000
0.08,1.10,25.66000
0.08,1.12,26.00000
0.08,1.14,26.36000
0.08,1.16,26.73000
0.08,1.18,27.10000
0.08,1.20,27.50000
0.08,1.22,27.90000
0.08,1.24,28.31000
0.08,1.26,28.73000
0.08,1.28,29.17000
0.08,1.30,29.62000
0.08,1.32,30.07000
0.08,1.34,30.54000
0.08,1.36,31.03000
0.08,1.38,31.52000
0.08,1.40,32.02000
0.08,1.42,32.54000
0.08,1.44,33.06000
0.08,1.46,33.60000
0.08,1.48,34.15000
0.08,1.50,34.71000
0.08,1.52,35.28000
0.08,1.54,35.86000
0.08,1.56,36.46000
0.08,1.58,37.06000
0.08,1.60,37.68000
0.08,1.62,38.31000
0.08,1.64,38.95000
0.08,1.66,39.60000
0.08,1.68,40.26000
0.08,1.70,40.93000
0.08,1.72,41.62000
0.08,1.74,42.31000
0.08,1.76,43.02000
0.08,1.78,43.74000
0.08,1.80,44.47000
0.08,1.82,45.21000
0.08,1.84,45.96000
0.08,1.86,46.73000
0.08,1.88,47.50000
0.08,1.90,48.29000
0.08,1.92,49.08000
0.08,1.94,49.89000
0.08,1.96,50.71000
0.08,1.98,51.55000
0.08,2.00,52.39000
0.08,2.02,53.24000
0.08,2.04,54.11000
0.08,2.06,54.99000
0.08,2.08,55.87000
0.08,2.10,56.77000
0.08,2.12,57.68000
0.08,2.14,58.61000
0.08,2.16,59.54000
0.08,2.18,60.48000
0.08,2.20,61.44000
0.08,2.22,62.41000
0.08,2.24,63.39000
0.08,2.26,64.38000
0.08,2.28,65.38000
0.08,2.30,66.39000
0.08,2.32,67.42000
0.08,2.34,68.45000
0.08,2.36,69.50000
0.08,2.38,70.56000
0.08,2.40,71.62000
0.08,2.42,72.70000
0.08,2.44,73.80000
0.08,2.46,74.90000
0.08,2.48,76.01000
0.08,2.50,77.14000
0.08,2.52,78.28000
0.08,2.54,79.43000
0.08,2.56,80.59000
0.08,2.58,81.76000
0.08,2.60,82.94000
0.08,2.62,84.13000
0.08,2.64,85.34000
0.08,2.66,86.55000
0.08,2.68,87.78000
0.08,2.70,89.02000
0.08,2.72,90.27000
0.08,2.74,91.53000
0.08,2.76,92.81000
0.08,2.78,94.09000
0.08,2.80,95.39000
0.08,2.82,96.69000
0.08,2.84,98.01000
0.08,2.86,99.34000
0.08,2.88,100.68000
0.08,2.90,102.03000
0.08,2.92,103.40000
0.08,2.94,104.77000
0.08,2.96,106.16000
0.08,2.98,107.56000
0.08,3.00,108.96000
0.08,3.02,110.38000
0.08,3.04,111.82000
0.08,3.06,113.26000
0.08,3.08,114.71000
0.08,3.10,116.18000
0.08,3.12,117.65000
0.08,3.14,119.14000
0.08,3.16,120.64000
0.08,3.18,122.15000
0.08,3.20,123.67000
0.08,3.22,125.21000
0.08,3.24,126.75000
0.08,3.26,128.31000
0.08,3.28,129.87000
0.08,3.30,131.45000
0.08,3.32,133.04000
0.08,3.34,134.64000
0.08,3.36,136.26000
0.08,3.38,137.88000
0.08,3.40,139.52000
0.08,3.42,141.16000
0.08,3.44,142.82000
0.08,3.46,144.49000
0.08,3.48,146.17000
0.08,3.50,147.86000
0.08,3.52,149.56000
0.08,3.54,151.28000
0.08,3.56,153.00000
0.08,3.58,154.74000
0.08,3.60,156.49000
0.08,3.62,158.25000
0.08,3.64,160.02000
0.08,3.66,161.80000
0.08,3.68,163.59000
0.08,3.70,165.40000
0.08,3.72,167.22000
0.08,3.74,169.04000
0.08,3.76,170.88000
0.08,3.78,172.73000
0.08,3.80,174.59000
0.08,3.82,176.47000
0.08,3.84,178.35000
0.08,3.86,180.24000
0.08,3.88,182.15000
0.08,3.90,184.07000
0.08,3.92,186.00000
0.08,3.94,187.94000
0.08,3.96,189.89000
0.08,3.98,191.85000
0.08,4.00,193.83000
0.10,0.00,24.03000
0.10,0.02,23.76000
0.10,0.04,23.49000
0.10,0.06,23.24000
0.10,0.08,23.00000
0.10,0.10,22.76000
0.10,0.12,22.55000
0.10,0.14,22.34000
0.10,0.16,22.14000
0.10,0.18,21.95000
0.10,0.20,21.78000
0.10,0.22,21.62000
0.10,0.24,21.46000
0.10,0.26,21.32000
0.10,0.28,21.19000
0.10,0.30,21.08000
0.10,0.32,20.97000
0.10,0.34,20.87000
0.10,0.36,20.79000
0.10,0.38,20.71000
0.10,0.40,20.65000
0.10,0.42,20.60000
0.10,0.44,20.56000
0.10,0.46,20.53000
0.10,0.48,20.52000
0.10,0.50,20.51000
0.10,0.52,20.52000
0.10,0.54,20.53000
0.10,0.56,20.56000
0.10,0.58,20.60000
0.10,0.60,20.65000
0.10,0.62,20.71000
0.10,0.64,20.79000
0.10,0.66,20.87000
0.10,0.68,20.97000
0.10,0.70,21.08000
0.10,0.72,21.19000
0.10,0.74,21.32000
0.10,0.76,21.46000
0.10,0.78,21.62000
0.10,0.80,21.78000
0.10,0.82,21.95000
0.10,0.84,22.14000
0.10,0.86,22.34000
0.10,0.88,22.55000
0.10,0.90,22.76000
0.10,0.92,23.00000
0.10,0.94,23.24000
0.10,0.96,23.49000
0.10,0.98,23.76000
0.10,1.00,24.03000
0.10,1.02,24.32000
0.10,1.04,24.62000
0.10,1.06,24.93000
0.10,1.08,25.25000
0.10,1.10,25.58000
0.10,1.12,25.92000
0.10,1.14,26.28000
0.10,1.16,26.65000
0.10,1.18,27.02000
0.10,1.20,27.41000
0.10,1.22,27.81000
0.10,1.24,28.22000
0.10,1.26,28.64000
0.10,1.28,29.08000
0.10,1.30,29.52000
0.10,1.32,29.98000
0.10,1.34,30.45000
0.10,1.36,30.93000
