Xcoord,Ycoord,SquareX,SquareY,CubeX,CubeY,Depth
0.00,0.70,0.0000,0.4900,0.0000000,0.3430000,21.38000
0.00,0.72,0.0000,0.5184,0.0000000,0.3732480,21.50000
0.00,0.74,0.0000,0.5476,0.0000000,0.4052240,21.63000
0.00,0.76,0.0000,0.5776,0.0000000,0.4389760,21.77000
0.00,0.78,0.0000,0.6084,0.0000000,0.4745520,21.93000
0.00,0.80,0.0000,0.6400,0.0000000,0.5120000,22.10000
0.00,0.82,0.0000,0.6724,0.0000000,0.5513680,22.27000
0.00,0.84,0.0000,0.7056,0.0000000,0.5927040,22.46000
0.00,0.86,0.0000,0.7396,0.0000000,0.6360560,22.67000
0.00,0.88,0.0000,0.7744,0.0000000,0.6814720,22.88000
0.00,0.90,0.0000,0.8100,0.0000000,0.7290000,23.10000
0.00,0.92,0.0000,0.8464,0.0000000,0.7786880,23.34000
0.00,0.94,0.0000,0.8836,0.0000000,0.8305840,23.59000
0.00,0.96,0.0000,0.9216,0.0000000,0.8847360,23.85000
0.00,0.98,0.0000,0.9604,0.0000000,0.9411920,24.12000
0.00,1.00,0.0000,1.0000,0.0000000,1.0000000,24.40000
0.00,1.02,0.0000,1.0404,0.0000000,1.0612080,24.69000
0.00,1.04,0.0000,1.0816,0.0000000,1.1248640,25.00000
0.00,1.06,0.0000,1.1236,0.0000000,1.1910160,25.32000
0.00,1.08,0.0000,1.1664,0.0000000,1.2597120,25.64000
0.00,1.10,0.0000,1.2100,0.0000000,1.3310000,25.98000
0.00,1.12,0.0000,1.2544,0.0000000,1.4049280,26.34000
0.00,1.14,0.0000,1.2996,0.0000000,1.4815440,26.70000
0.00,1.16,0.0000,1.3456,0.0000000,1.5608960,27.07000
0.00,1.18,0.0000,1.3924,0.0000000,1.6430320,27.46000
0.00,1.20,0.0000,1.4400,0.0000000,1.7280000,27.86000
0.00,1.22,0.0000,1.4884,0.0000000,1.8158480,28.26000
0.00,1.24,0.0000,1.5376,0.0000000,1.9066240,28.69000
0.00,1.26,0.0000,1.5876,0.0000000,2.0003760,29.12000
0.00,1.28,0.0000,1.6384,0.0000000,2.0971520,29.56000
0.00,1.30,0.0000,1.6900,0.0000000,2.1970000,30.02000
0.00,1.32,0.0000,1.7424,0.0000000,2.2999680,30.48000
0.00,1.34,0.0000,1.7956,0.0000000,2.4061040,30.96000
0.00,1.36,0.0000,1.8496,0.0000000,2.5154560,31.45000
0.00,1.38,0.0000,1.9044,0.0000000,2.6280720,31.95000
0.00,1.40,0.0000,1.9600,0.0000000,2.7440000,32.46000
0.00,1.42,0.0000,2.0164,0.0000000,2.8632880,32.99000
0.00,1.44,0.0000,2.0736,0.0000000,2.9859840,33.52000
0.00,1.46,0.0000,2.1316,0.0000000,3.1121360,34.07000
0.00,1.48,0.0000,2.1904,0.0000000,3.2417920,34.63000
0.00,1.50,0.0000,2.2500,0.0000000,3.3750000,35.20000
0.00,1.52,0.0000,2.3104,0.0000000,3.5118080,35.78000
0.00,1.54,0.0000,2.3716,0.0000000,3.6522640,36.38000
0.00,1.56,0.0000,2.4336,0.0000000,3.7964160,36.98000
0.00,1.58,0.0000,2.4964,0.0000000,3.9443120,37.60000
0.00,1.60,0.0000,2.5600,0.0000000,4.0960000,38.22000
0.00,1.62,0.0000,2.6244,0.0000000,4.2515280,38.86000
0.00,1.64,0.0000,2.6896,0.0000000,4.4109440,39.51000
0.00,1.66,0.0000,2.7556,0.0000000,4.5742960,40.18000
0.00,1.68,0.0000,2.8224,0.0000000,4.7416320,40.85000
0.00,1.70,0.0000,2.8900,0.0000000,4.9130000,41.54000
0.00,1.72,0.0000,2.9584,0.0000000,5.0884480,42.23000
0.00,1.74,0.0000,3.0276,0.0000000,5.2680240,42.94000
0.00,1.76,0.0000,3.0976,0.0000000,5.4517760,43.66000
0.00,1.78,0.0000,3.1684,0.0000000,5.6397520,44.39000
0.00,1.80,0.0000,3.2400,0.0000000,5.8320000,45.14000
0.00,1.82,0.0000,3.3124,0.0000000,6.0285680,45.89000
0.00,1.84,0.0000,3.3856,0.0000000,6.2295040,46.66000
0.00,1.86,0.0000,3.4596,0.0000000,6.4348560,47.43000
0.00,1.88,0.0000,3.5344,0.0000000,6.6446720,48.22000
0.00,1.90,0.0000,3.6100,0.0000000,6.8590000,49.02000
0.00,1.92,0.0000,3.6864,0.0000000,7.0778880,49.84000
0.00,1.94,0.0000,3.7636,0.0000000,7.3013840,50.66000
0.00,1.96,0.0000,3.8416,0.0000000,7.5295360,51.50000
0.00,1.98,0.0000,3.9204,0.0000000,7.7623920,52.34000
0.00,2.00,0.0000,4.0000,0.0000000,8.0000000,53.20000
0.00,2.02,0.0000,4.0804,0.0000000,8.2424080,54.07000
0.00,2.04,0.0000,4.1616,0.0000000,8.4896640,54.95000
0.00,2.06,0.0000,4.2436,0.0000000,8.7418160,55.84000
0.00,2.08,0.0000,4.3264,0.0000000,8.9989120,56.75000
0.00,2.10,0.0000,4.4100,0.0000000,9.2610000,57.66000
0.00,2.12,0.0000,4.4944,0.0000000,9.5281280,58.59000
0.00,2.14,0.0000,4.5796,0.0000000,9.8003440,59.53000
0.00,2.16,0.0000,4.6656,0.0000000,10.0776960,60.48000
0.00,2.18,0.0000,4.7524,0.0000000,10.3602320,61.44000
0.00,2.20,0.0000,4.8400,0.0000000,10.6480000,62.42000
0.00,2.22,0.0000,4.9284,0.0000000,10.9410480,63.40000
0.00,2.24,0.0000,5.0176,0.0000000,11.2394240,64.40000
0.00,2.26,0.0000,5.1076,0.0000000,11.5431760,65.41000
0.00,2.28,0.0000,5.1984,0.0000000,11.8523520,66.42000
0.00,2.30,0.0000,5.2900,0.0000000,12.1670000,67.46000
0.00,2.32,0.0000,5.3824,0.0000000,12.4871680,68.50000
0.00,2.34,0.0000,5.4756,0.0000000,12.8129040,69.55000
0.00,2.36,0.0000,5.5696,0.0000000,13.1442560,70.62000
0.00,2.38,0.0000,5.6644,0.0000000,13.4812720,71.70000
0.00,2.40,0.0000,5.7600,0.0000000,13.8240000,72.78000
0.00,2.42,0.0000,5.8564,0.0000000,14.1724880,73.88000
0.00,2.44,0.0000,5.9536,0.0000000,14.5267840,75.00000
0.00,2.46,0.0000,6.0516,0.0000000,14.8869360,76.12000
0.00,2.48,0.0000,6.1504,0.0000000,15.2529920,77.25000
0.00,2.50,0.0000,6.2500,0.0000000,15.6250000,78.40000
0.00,2.52,0.0000,6.3504,0.0000000,16.0030080,79.56000
0.00,2.54,0.0000,6.4516,0.0000000,16.3870640,80.73000
0.00,2.56,0.0000,6.5536,0.0000000,16.7772160,81.91000
0.00,2.58,0.0000,6.6564,0.0000000,17.1735120,83.10000
0.00,2.60,0.0000,6.7600,0.0000000,17.5760000,84.30000
0.00,2.62,0.0000,6.8644,0.0000000,17.9847280,85.52000
0.00,2.64,0.0000,6.9696,0.0000000,18.3997440,86.75000
0.00,2.66,0.0000,7.0756,0.0000000,18.8210960,87.98000
0.00,2.68,0.0000,7.1824,0.0000000,19.2488320,89.23000
0.00,2.70,0.0000,7.2900,0.0000000,19.6830000,90.50000
0.00,2.72,0.0000,7.3984,0.0000000,20.1236480,91.77000
0.00,2.74,0.0000,7.5076,0.0000000,20.5708240,93.05000
0.00,2.76,0.0000,7.6176,0.0000000,21.0245760,94.35000
0.00,2.78,0.0000,7.7284,0.0000000,21.4849520,95.66000
0.00,2.80,0.0000,7.8400,0.0000000,21.9520000,96.98000
0.00,2.82,0.0000,7.9524,0.0000000,22.4257680,98.31000
0.00,2.84,0.0000,8.0656,0.0000000,22.9063040,99.65000
0.00,2.86,0.0000,8.1796,0.0000000,23.3936560,101.00000
0.00,2.88,0.0000,8.2944,0.0000000,23.8878720,102.37000
0.00,2.90,0.0000,8.4100,0.0000000,24.3890000,103.74000
0.00,2.92,0.0000,8.5264,0.0000000,24.8970880,105.13000
0.00,2.94,0.0000,8.6436,0.0000000,25.4121840,106.53000
0.00,2.96,0.0000,8.7616,0.0000000,25.9343360,107.94000
0.00,2.98,0.0000,8.8804,0.0000000,26.4635920,109.37000
0.00,3.00,0.0000,9.0000,0.0000000,27.0000000,110.80000
0.00,3.02,0.0000,9.1204,0.0000000,27.5436080,112.25000
0.00,3.04,0.0000,9.2416,0.0000000,28.0944640,113.70000
0.00,3.06,0.0000,9.3636,0.0000000,28.6526160,115.17000
0.00,3.08,0.0000,9.4864,0.0000000,29.2181120,116.65000
0.00,3.10,0.0000,9.6100,0.0000000,29.7910000,118.14000
0.00,3.12,0.0000,9.7344,0.0000000,30.3713280,119.65000
0.00,3.14,0.0000,9.8596,0.0000000,30.9591440,121.16000
0.00,3.16,0.0000,9.9856,0.0000000,31.5544960,122.69000
0.00,3.18,0.0000,10.1124,0.0000000,32.1574320,124.23000
0.00,3.20,0.0000,10.2400,0.0000000,32.7680000,125.78000
0.00,3.22,0.0000,10.3684,0.0000000,33.3862480,127.34000
0.00,3.24,0.0000,10.4976,0.0000000,34.0122240,128.91000
0.00,3.26,0.0000,10.6276,0.0000000,34.6459760,130.49000
0.00,3.28,0.0000,10.7584,0.0000000,35.2875520,132.09000
0.00,3.30,0.0000,10.8900,0.0000000,35.9370000,133.70000
0.00,3.32,0.0000,11.0224,0.0000000,36.5943680,135.31000
0.00,3.34,0.0000,11.1556,0.0000000,37.2597040,136.94000
0.00,3.36,0.0000,11.2896,0.0000000,37.9330560,138.59000
0.00,3.38,0.0000,11.4244,0.0000000,38.6144720,140.24000
0.00,3.40,0.0000,11.5600,0.0000000,39.3040000,141.90000
0.00,3.42,0.0000,11.6964,0.0000000,40.0016880,143.58000
0.00,3.44,0.0000,11.8336,0.0000000,40.7075840,145.27000
0.00,3.46,0.0000,11.9716,0.0000000,41.4217360,146.97000
0.00,3.48,0.0000,12.1104,0.0000000,42.1441920,148.68000
0.00,3.50,0.0000,12.2500,0.0000000,42.8750000,150.40000
0.00,3.52,0.0000,12.3904,0.0000000,43.6142080,152.13000
0.00,3.54,0.0000,12.5316,0.0000000,44.3618640,153.88000
0.00,3.56,0.0000,12.6736,0.0000000,45.1180160,155.64000
0.00,3.58,0.0000,12.8164,0.0000000,45.8827120,157.40000
0.00,3.60,0.0000,12.9600,0.0000000,46.6560000,159.18000
0.00,3.62,0.0000,13.1044,0.0000000,47.4379280,160.98000
0.00,3.64,0.0000,13.2496,0.0000000,48.2285440,162.78000
0.00,3.66,0.0000,13.3956,0.0000000,49.0278960,164.59000
0.00,3.68,0.0000,13.5424,0.0000000,49.8360320,166.42000
0.00,3.70,0.0000,13.6900,0.0000000,50.6530000,168.26000
0.00,3.72,0.0000,13.8384,0.0000000,51.4788480,170.10000
0.00,3.74,0.0000,13.9876,0.0000000,52.3136240,171.97000
0.00,3.76,0.0000,14.1376,0.0000000,53.1573760,173.84000
0.00,3.78,0.0000,14.2884,0.0000000,54.0101520,175.72000
0.00,3.80,0.0000,14.4400,0.0000000,54.8720000,177.62000
0.00,3.82,0.0000,14.5924,0.0000000,55.7429680,179.52000
0.00,3.84,0.0000,14.7456,0.0000000,56.6231040,181.44000
0.00,3.86,0.0000,14.8996,0.0000000,57.5124560,183.37000
0.00,3.88,0.0000,15.0544,0.0000000,58.4110720,185.31000
0.00,3.90,0.0000,15.2100,0.0000000,59.3190000,187.26000
0.00,3.92,0.0000,15.3664,0.0000000,60.2362880,189.23000
0.00,3.94,0.0000,15.5236,0.0000000,61.1629840,191.20000
0.00,3.96,0.0000,15.6816,0.0000000,62.0991360,193.19000
0.00,3.98,0.0000,15.8404,0.0000000,63.0447920,195.19000
0.00,4.00,0.0000,16.0000,0.0000000,64.0000000,197.20000
0.02,0.00,0.0004,0.0000,0.0000080,0.0000000,24.32000
0.02,0.02,0.0004,0.0004,0.0000080,0.0000080,24.04000
0.02,0.04,0.0004,0.0016,0.0000080,0.0000640,23.77000
0.02,0.06,0.0004,0.0036,0.0000080,0.0002160,23.51000
0.02,0.08,0.0004,0.0064,0.0000080,0.0005120,23.27000
0.02,0.10,0.0004,0.0100,0.0000080,0.0010000,23.03000
0.02,0.12,0.0004,0.0144,0.0000080,0.0017280,22.81000
0.02,0.14,0.0004,0.0196,0.0000080,0.0027440,22.60000
0.02,0.16,0.0004,0.0256,0.0000080,0.0040960,22.39000
0.02,0.18,0.0004,0.0324,0.0000080,0.0058320,22.21000
0.02,0.20,0.0004,0.0400,0.0000080,0.0080000,22.03000
0.02,0.22,0.0004,0.0484,0.0000080,0.0106480,21.86000
0.02,0.24,0.0004,0.0576,0.0000080,0.0138240,21.71000
0.02,0.26,0.0004,0.0676,0.0000080,0.0175760,21.56000
0.02,0.28,0.0004,0.0784,0.0000080,0.0219520,21.43000
0.02,0.30,0.0004,0.0900,0.0000080,0.0270000,21.31000
0.02,0.32,0.0004,0.1024,0.0000080,0.0327680,21.20000
0.02,0.34,0.0004,0.1156,0.0000080,0.0393040,21.10000
0.02,0.36,0.0004,0.1296,0.0000080,0.0466560,21.02000
0.02,0.38,0.0004,0.1444,0.0000080,0.0548720,20.94000
0.02,0.40,0.0004,0.1600,0.0000080,0.0640000,20.88000
0.02,0.42,0.0004,0.1764,0.0000080,0.0740880,20.83000
0.02,0.44,0.0004,0.1936,0.0000080,0.0851840,20.79000
0.02,0.46,0.0004,0.2116,0.0000080,0.0973360,20.76000
0.02,0.48,0.0004,0.2304,0.0000080,0.1105920,20.74000
0.02,0.50,0.0004,0.2500,0.0000080,0.1250000,20.74000
0.02,0.52,0.0004,0.2704,0.0000080,0.1406080,20.74000
0.02,0.54,0.0004,0.2916,0.0000080,0.1574640,20.76000
0.02,0.56,0.0004,0.3136,0.0000080,0.1756160,20.79000
0.02,0.58,0.0004,0.3364,0.0000080,0.1951120,20.83000
0.02,0.60,0.0004,0.3600,0.0000080,0.2160000,20.88000
0.02,0.62,0.0004,0.3844,0.0000080,0.2383280,20.94000
0.02,0.64,0.0004,0.4096,0.0000080,0.2621440,21.02000
0.02,0.66,0.0004,0.4356,0.0000080,0.2874960,21.10000
0.02,0.68,0.0004,0.4624,0.0000080,0.3144320,21.20000
0.02,0.70,0.0004,0.4900,0.0000080,0.3430000,21.31000
0.02,0.72,0.0004,0.5184,0.0000080,0.3732480,21.43000
0.02,0.74,0.0004,0.5476,0.0000080,0.4052240,21.56000
0.02,0.76,0.0004,0.5776,0.0000080,0.4389760,21.71000
0.02,0.78,0.0004,0.6084,0.0000080,0.4745520,21.86000
0.02,0.80,0.0004,0.6400,0.0000080,0.5120000,22.03000
0.02,0.82,0.0004,0.6724,0.0000080,0.5513680,22.21000
0.02,0.84,0.0004,0.7056,0.0000080,0.5927040,22.39000
0.02,0.86,0.0004,0.7396,0.0000080,0.6360560,22.60000
0.02,0.88,0.0004,0.7744,0.0000080,0.6814720,22.81000
0.02,0.90,0.0004,0.8100,0.0000080,0.7290000,23.03000
0.02,0.92,0.0004,0.8464,0.0000080,0.7786880,23.27000
0.02,0.94,0.0004,0.8836,0.0000080,0.8305840,23.51000
0.02,0.96,0.0004,0.9216,0.0000080,0.8847360,23.77000
0.02,0.98,0.0004,0.9604,0.0000080,0.9411920,24.04000
0.02,1.00,0.0004,1.0000,0.0000080,1.0000000,24.32000
0.02,1.02,0.0004,1.0404,0.0000080,1.0612080,24.61000
0.02,1.04,0.0004,1.0816,0.0000080,1.1248640,24.92000
0.02,1.06,0.0004,1.1236,0.0000080,1.1910160,25.23000
0.02,1.08,0.0004,1.1664,0.0000080,1.2597120,25.56000
0.02,1.10,0.0004,1.2100,0.0000080,1.3310000,25.90000
0.02,1.12,0.0004,1.2544,0.0000080,1.4049280,26.25000
0.02,1.14,0.0004,1.2996,0.0000080,1.4815440,26.61000
0.02,1.16,0.0004,1.3456,0.0000080,1.5608960,26.98000
0.02,1.18,0.0004,1.3924,0.0000080,1.6430320,27.37000
0.02,1.20,0.0004,1.4400,0.0000080,1.7280000,27.76000
0.02,1.22,0.0004,1.4884,0.0000080,1.8158480,28.17000
0.02,1.24,0.0004,1.5376,0.0000080,1.9066240,28.59000
0.02,1.26,0.0004,1.5876,0.0000080,2.0003760,29.02000
0.02,1.28,0.0004,1.6384,0.0000080,2.0971520,29.46000
0.02,1.30,0.0004,1.6900,0.0000080,2.1970000,29.91000
0.02,1.32,0.0004,1.7424,0.0000080,2.2999680,30.38000
0.02,1.34,0.0004,1.7956,0.0000080,2.4061040,30.85000
0.02,1.36,0.0004,1.8496,0.0000080,2.5154560,31.34000
0.02,1.38,0.0004,1.9044,0.0000080,2.6280720,31.84000
0.02,1.40,0.0004,1.9600,0.0000080,2.7440000,32.35000
0.02,1.42,0.0004,2.0164,0.0000080,2.8632880,32.87000
0.02,1.44,0.0004,2.0736,0.0000080,2.9859840,33.40000
0.02,1.46,0.0004,2.1316,0.0000080,3.1121360,33.95000
0.02,1.48,0.0004,2.1904,0.0000080,3.2417920,34.51000
0.02,1.50,0.0004,2.2500,0.0000080,3.3750000,35.07000
0.02,1.52,0.0004,2.3104,0.0000080,3.5118080,35.65000
0.02,1.54,0.0004,2.3716,0.0000080,3.6522640,36.24000
0.02,1.56,0.0004,2.4336,0.0000080,3.7964160,36.85000
0.02,1.58,0.0004,2.4964,0.0000080,3.9443120,37.46000
0.02,1.60,0.0004,2.5600,0.0000080,4.0960000,38.08000
0.02,1.62,0.0004,2.6244,0.0000080,4.2515280,38.72000
0.02,1.64,0.0004,2.6896,0.0000080,4.4109440,39.37000
0.02,1.66,0.0004,2.7556,0.0000080,4.5742960,40.03000
0.02,1.68,0.0004,2.8224,0.0000080,4.7416320,40.70000
0.02,1.70,0.0004,2.8900,0.0000080,4.9130000,41.38000
0.02,1.72,0.0004,2.9584,0.0000080,5.0884480,42.07000
0.02,1.74,0.0004,3.0276,0.0000080,5.2680240,42.78000
0.02,1.76,0.0004,3.0976,0.0000080,5.4517760,43.50000
0.02,1.78,0.0004,3.1684,0.0000080,5.6397520,44.23000
0.02,1.80,0.0004,3.2400,0.0000080,5.8320000,44.97000
0.02,1.82,0.0004,3.3124,0.0000080,6.0285680,45.72000
0.02,1.84,0.0004,3.3856,0.0000080,6.2295040,46.48000
0.02,1.86,0.0004,3.4596,0.0000080,6.4348560,47.25000
0.02,1.88,0.0004,3.5344,0.0000080,6.6446720,48.04000
0.02,1.90,0.0004,3.6100,0.0000080,6.8590000,48.84000
0.02,1.92,0.0004,3.6864,0.0000080,7.0778880,49.64000
0.02,1.94,0.0004,3.7636,0.0000080,7.3013840,50.46000
0.02,1.96,0.0004,3.8416,0.0000080,7.5295360,51.30000
0.02,1.98,0.0004,3.9204,0.0000080,7.7623920,52.14000
0.02,2.00,0.0004,4.0000,0.0000080,8.0000000,52.99000
0.02,2.02,0.0004,4.0804,0.0000080,8.2424080,53.86000
0.02,2.04,0.0004,4.1616,0.0000080,8.4896640,54.74000
0.02,2.06,0.0004,4.2436,0.0000080,8.7418160,55.63000
0.02,2.08,0.0004,4.3264,0.0000080,8.9989120,56.53000
0.02,2.10,0.0004,4.4100,0.0000080,9.2610000,57.44000
0.02,2.12,0.0004,4.4944,0.0000080,9.5281280,58.36000
0.02,2.14,0.0004,4.5796,0.0000080,9.8003440,59.30000
0.02,2.16,0.0004,4.6656,0.0000080,10.0776960,60.24000
0.02,2.18,0.0004,4.7524,0.0000080,10.3602320,61.20000
0.02,2.20,0.0004,4.8400,0.0000080,10.6480000,62.17000
0.02,2.22,0.0004,4.9284,0.0000080,10.9410480,63.15000
0.02,2.24,0.0004,5.0176,0.0000080,11.2394240,64.14000
0.02,2.26,0.0004,5.1076,0.0000080,11.5431760,65.14000
0.02,2.28,0.0004,5.1984,0.0000080,11.8523520,66.16000
0.02,2.30,0.0004,5.2900,0.0000080,12.1670000,67.19000
0.02,2.32,0.0004,5.3824,0.0000080,12.4871680,68.22000
0.02,2.34,0.0004,5.4756,0.0000080,12.8129040,69.27000
0.02,2.36,0.0004,5.5696,0.0000080,13.1442560,70.33000
0.02,2.38,0.0004,5.6644,0.0000080,13.4812720,71.41000
0.02,2.40,0.0004,5.7600,0.0000080,13.8240000,72.49000
0.02,2.42,0.0004,5.8564,0.0000080,14.1724880,73.59000
0.02,2.44,0.0004,5.9536,0.0000080,14.5267840,74.69000
0.02,2.46,0.0004,6.0516,0.0000080,14.8869360,75.81000
0.02,2.48,0.0004,6.1504,0.0000080,15.2529920,76.94000
0.02,2.50,0.0004,6.2500,0.0000080,15.6250000,78.08000
0.02,2.52,0.0004,6.3504,0.0000080,16.0030080,79.23000
0.02,2.54,0.0004,6.4516,0.0000080,16.3870640,80.40000
0.02,2.56,0.0004,6.5536,0.0000080,16.7772160,81.57000
0.02,2.58,0.0004,6.6564,0.0000080,17.1735120,82.76000
0.02,2.60,0.0004,6.7600,0.0000080,17.5760000,83.96000
0.02,2.62,0.0004,6.8644,0.0000080,17.9847280,85.17000
0.02,2.64,0.0004,6.9696,0.0000080,18.3997440,86.39000
0.02,2.66,0.0004,7.0756,0.0000080,18.8210960,87.62000
0.02,2.68,0.0004,7.1824,0.0000080,19.2488320,88.87000
0.02,2.70,0.0004,7.2900,0.0000080,19.6830000,90.12000
0.02,2.72,0.0004,7.3984,0.0000080,20.1236480,91.39000
0.02,2.74,0.0004,7.5076,0.0000080,20.5708240,92.67000
0.02,2.76,0.0004,7.6176,0.0000080,21.0245760,93.96000
0.02,2.78,0.0004,7.7284,0.0000080,21.4849520,95.26000
0.02,2.80,0.0004,7.8400,0.0000080,21.9520000,96.57000
0.02,2.82,0.0004,7.9524,0.0000080,22.4257680,97.90000
0.02,2.84,0.0004,8.0656,0.0000080,22.9063040,99.24000
0.02,2.86,0.0004,8.1796,0.0000080,23.3936560,100.58000
0.02,2.88,0.0004,8.2944,0.0000080,23.8878720,101.94000
0.02,2.90,0.0004,8.4100,0.0000080,24.3890000,103.31000
0.02,2.92,0.0004,8.5264,0.0000080,24.8970880,104.69000
0.02,2.94,0.0004,8.6436,0.0000080,25.4121840,106.09000
0.02,2.96,0.0004,8.7616,0.0000080,25.9343360,107.49000
0.02,2.98,0.0004,8.8804,0.0000080,26.4635920,108.91000
0.02,3.00,0.0004,9.0000,0.0000080,27.0000000,110.34000
0.02,3.02,0.0004,9.1204,0.0000080,27.5436080,111.78000
0.02,3.04,0.0004,9.2416,0.0000080,28.0944640,113.23000
0.02,3.06,0.0004,9.3636,0.0000080,28.6526160,114.69000
0.02,3.08,0.0004,9.4864,0.0000080,29.2181120,116.16000
0.02,3.10,0.0004,9.6100,0.0000080,29.7910000,117.65000
0.02,3.12,0.0004,9.7344,0.0000080,30.3713280,119.15000
0.02,3.14,0.0004,9.8596,0.0000080,30.9591440,120.65000
0.02,3.16,0.0004,9.9856,0.0000080,31.5544960,122.17000
0.02,3.18,0.0004,10.1124,0.0000080,32.1574320,123.70000
0.02,3.20,0.0004,10.2400,0.0000080,32.7680000,125.25000
0.02,3.22,0.0004,10.3684,0.0000080,33.3862480,126.80000
0.02,3.24,0.0004,10.4976,0.0000080,34.0122240,128.37000
0.02,3.26,0.0004,10.6276,0.0000080,34.6459760,129.94000
0.02,3.28,0.0004,10.7584,0.0000080,35.2875520,131.53000
0.02,3.30,0.0004,10.8900,0.0000080,35.9370000,133.13000
0.02,3.32,0.0004,11.0224,0.0000080,36.5943680,134.74000
0.02,3.34,0.0004,11.1556,0.0000080,37.2597040,136.37000
0.02,3.36,0.0004,11.2896,0.0000080,37.9330560,138.00000
0.02,3.38,0.0004,11.4244,0.0000080,38.6144720,139.65000
0.02,3.40,0.0004,11.5600,0.0000080,39.3040000,141.30000
0.02,3.42,0.0004,11.6964,0.0000080,40.0016880,142.97000
0.02,3.44,0.0004,11.8336,0.0000080,40.7075840,144.65000
0.02,3.46,0.0004,11.9716,0.0000080,41.4217360,146.34000
0.02,3.48,0.0004,12.1104,0.0000080,42.1441920,148.05000
0.02,3.50,0.0004,12.2500,0.0000080,42.8750000,149.76000
0.02,3.52,0.0004,12.3904,0.0000080,43.6142080,151.49000
0.02,3.54,0.0004,12.5316,0.0000080,44.3618640,153.22000
0.02,3.56,0.0004,12.6736,0.0000080,45.1180160,154.97000
0.02,3.58,0.0004,12.8164,0.0000080,45.8827120,156.73000
0.02,3.60,0.0004,12.9600,0.0000080,46.6560000,158.51000
0.02,3.62,0.0004,13.1044,0.0000080,47.4379280,160.29000
0.02,3.64,0.0004,13.2496,0.0000080,48.2285440,162.08000
0.02,3.66,0.0004,13.3956,0.0000080,49.0278960,163.89000
0.02,3.68,0.0004,13.5424,0.0000080,49.8360320,165.71000
0.02,3.70,0.0004,13.6900,0.0000080,50.6530000,167.54000
0.02,3.72,0.0004,13.8384,0.0000080,51.4788480,169.38000
0.02,3.74,0.0004,13.9876,0.0000080,52.3136240,171.23000
0.02,3.76,0.0004,14.1376,0.0000080,53.1573760,173.09000
0.02,3.78,0.0004,14.2884,0.0000080,54.0101520,174.97000
0.02,3.80,0.0004,14.4400,0.0000080,54.8720000,176.86000
0.02,3.82,0.0004,14.5924,0.0000080,55.7429680,178.75000
0.02,3.84,0.0004,14.7456,0.0000080,56.6231040,180.66000
0.02,3.86,0.0004,14.8996,0.0000080,57.5124560,182.58000
0.02,3.88,0.0004,15.0544,0.0000080,58.4110720,184.52000
0.02,3.90,0.0004,15.2100,0.0000080,59.3190000,186.46000
